EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-5.84E+00,+7.16E+00,-1.42E+00,+3.624E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-5.75E+00,+7.19E+00,-1.53E+00,+3.640E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-5.66E+00,+7.22E+00,-1.65E+00,+3.655E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-5.59E+00,+7.25E+00,-1.79E+00,+3.670E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-5.49E+00,+7.26E+00,-1.91E+00,+3.685E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-5.40E+00,+7.29E+00,-2.01E+00,+3.693E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-5.31E+00,+7.31E+00,-2.14E+00,+3.708E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-5.23E+00,+7.34E+00,-2.26E+00,+3.723E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-5.14E+00,+7.37E+00,-2.37E+00,+3.731E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-5.05E+00,+7.39E+00,-2.49E+00,+3.739E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-4.96E+00,+7.42E+00,-2.59E+00,+3.746E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-4.87E+00,+7.43E+00,-2.72E+00,+3.762E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-4.78E+00,+7.45E+00,-2.82E+00,+3.769E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-4.68E+00,+7.46E+00,-2.93E+00,+3.777E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-4.59E+00,+7.49E+00,-3.05E+00,+3.785E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-4.50E+00,+7.51E+00,-3.16E+00,+3.792E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-4.39E+00,+7.52E+00,-3.27E+00,+3.800E+00
2,16/2/2026,19:08:00.371,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,-4.30E+00,+7.54E+00,-3.37E+00,+3.807E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-4.21E+00,+7.54E+00,-3.48E+00,+3.807E+00
2,16/2/2026,19:08:00.371,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-4.12E+00,+7.55E+00,-3.59E+00,+3.815E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-4.03E+00,+7.57E+00,-3.69E+00,+3.823E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-3.94E+00,+7.58E+00,-3.78E+00,+3.823E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.83E+00,+7.58E+00,-3.89E+00,+3.823E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.74E+00,+7.58E+00,-4.00E+00,+3.830E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.63E+00,+7.60E+00,-4.10E+00,+3.830E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.53E+00,+7.61E+00,-4.20E+00,+3.830E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.42E+00,+7.60E+00,-4.30E+00,+3.838E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.31E+00,+7.61E+00,-4.41E+00,+3.838E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.20E+00,+7.63E+00,-4.50E+00,+3.838E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-3.10E+00,+7.63E+00,-4.61E+00,+3.838E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-2.99E+00,+7.63E+00,-4.70E+00,+3.838E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-2.88E+00,+7.63E+00,-4.81E+00,+3.838E+00
2,16/2/2026,19:08:00.372,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.78E+00,+7.63E+00,-4.90E+00,+3.838E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.67E+00,+7.61E+00,-4.99E+00,+3.838E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.56E+00,+7.63E+00,-5.10E+00,+3.830E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.44E+00,+7.63E+00,-5.19E+00,+3.830E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.33E+00,+7.61E+00,-5.28E+00,+3.830E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.21E+00,+7.60E+00,-5.39E+00,+3.815E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.11E+00,+7.60E+00,-5.48E+00,+3.807E+00
2,16/2/2026,19:08:00.372,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.00E+00,+7.57E+00,-5.55E+00,+3.800E+00
