EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+2.17E+00,-7.65E+00,+4.73E+00,+1.137E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+2.06E+00,-7.65E+00,+4.82E+00,+1.083E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+1.95E+00,-7.63E+00,+4.91E+00,+1.030E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+1.85E+00,-7.63E+00,+4.99E+00,+0.977E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+1.74E+00,-7.61E+00,+5.08E+00,+0.931E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,-0.047E+00,-0.141E+00,+1.63E+00,-7.58E+00,+5.16E+00,+0.877E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+1.53E+00,-7.57E+00,+5.23E+00,+0.824E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+1.42E+00,-7.54E+00,+5.30E+00,+0.778E+00
2,03/2/2026,18:42:06.368,+0.000E+00,-0.047E+00,+0.000E+00,-0.188E+00,+1.31E+00,-7.49E+00,+5.37E+00,+0.717E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+1.19E+00,-7.46E+00,+5.45E+00,+0.664E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+1.08E+00,-7.42E+00,+5.51E+00,+0.610E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.98E+00,-7.37E+00,+5.57E+00,+0.549E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.85E+00,-7.32E+00,+5.63E+00,+0.496E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,+0.75E+00,-7.28E+00,+5.69E+00,+0.443E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.64E+00,-7.22E+00,+5.75E+00,+0.382E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.52E+00,-7.17E+00,+5.81E+00,+0.328E+00
2,03/2/2026,18:42:06.368,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,+0.40E+00,-7.11E+00,+5.86E+00,+0.275E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.27E+00,-7.05E+00,+5.92E+00,+0.214E+00
2,03/2/2026,18:42:06.368,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.17E+00,-6.97E+00,+5.97E+00,+0.160E+00
2,03/2/2026,18:42:06.368,+0.000E+00,-0.047E+00,+0.000E+00,-0.188E+00,+0.06E+00,-6.90E+00,+6.03E+00,+0.099E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-0.06E+00,-6.82E+00,+6.07E+00,+0.046E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-0.17E+00,-6.75E+00,+6.13E+00,-0.008E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-0.27E+00,-6.67E+00,+6.18E+00,-0.069E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-0.40E+00,-6.59E+00,+6.23E+00,-0.122E+00
2,03/2/2026,18:42:06.369,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,-0.50E+00,-6.52E+00,+6.27E+00,-0.183E+00
2,03/2/2026,18:42:06.369,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,-0.61E+00,-6.44E+00,+6.33E+00,-0.237E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-0.73E+00,-6.35E+00,+6.36E+00,-0.298E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,+0.000E+00,-0.141E+00,-0.84E+00,-6.27E+00,+6.41E+00,-0.351E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-0.96E+00,-6.20E+00,+6.46E+00,-0.412E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-1.08E+00,-6.10E+00,+6.50E+00,-0.473E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-1.21E+00,-6.03E+00,+6.53E+00,-0.526E+00
2,03/2/2026,18:42:06.369,+0.000E+00,-0.047E+00,+0.000E+00,-0.188E+00,-1.30E+00,-5.94E+00,+6.58E+00,-0.588E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-1.42E+00,-5.84E+00,+6.62E+00,-0.641E+00
2,03/2/2026,18:42:06.369,-0.047E+00,+0.000E+00,-0.047E+00,-0.188E+00,-1.54E+00,-5.77E+00,+6.65E+00,-0.694E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-1.65E+00,-5.69E+00,+6.68E+00,-0.755E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-1.75E+00,-5.60E+00,+6.71E+00,-0.816E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-1.86E+00,-5.51E+00,+6.75E+00,-0.870E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-1.98E+00,-5.43E+00,+6.78E+00,-0.923E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.09E+00,-5.34E+00,+6.79E+00,-0.977E+00
2,03/2/2026,18:42:06.369,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.20E+00,-5.25E+00,+6.82E+00,-1.030E+00
2,03/2/2026,18:42:06.370,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.30E+00,-5.16E+00,+6.84E+00,-1.083E+00
2,03/2/2026,18:42:06.370,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-2.41E+00,-5.08E+00,+6.87E+00,-1.145E+00
2,03/2/2026,18:42:06.370,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-2.52E+00,-4.99E+00,+6.88E+00,-1.198E+00
2,03/2/2026,18:42:06.370,+0.000E+00,-0.047E+00,+0.000E+00,-0.188E+00,-2.61E+00,-4.90E+00,+6.91E+00,-1.244E+00
2,03/2/2026,18:42:06.370,-0.047E+00,-0.047E+00,+0.000E+00,-0.188E+00,-2.73E+00,-4.81E+00,+6.93E+00,-1.305E+00
2,03/2/2026,18:42:06.370,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.84E+00,-4.72E+00,+6.94E+00,-1.358E+00
2,03/2/2026,18:42:06.370,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-2.93E+00,-4.64E+00,+6.96E+00,-1.404E+00
2,03/2/2026,18:42:06.370,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.04E+00,-4.55E+00,+6.99E+00,-1.457E+00
2,03/2/2026,18:42:06.370,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.14E+00,-4.46E+00,+7.00E+00,-1.503E+00
2,03/2/2026,18:42:06.370,+0.000E+00,-0.047E+00,+0.000E+00,-0.188E+00,-3.24E+00,-4.35E+00,+7.02E+00,-1.557E+00
2,03/2/2026,18:42:06.370,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.34E+00,-4.26E+00,+7.03E+00,-1.610E+00
2,03/2/2026,18:42:06.370,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.43E+00,-4.17E+00,+7.03E+00,-1.656E+00
2,03/2/2026,18:42:06.370,-0.047E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.54E+00,-4.06E+00,+7.05E+00,-1.709E+00
2,03/2/2026,18:42:06.370,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.63E+00,-3.97E+00,+7.07E+00,-1.763E+00
2,03/2/2026,18:42:06.370,+0.000E+00,-0.047E+00,-0.047E+00,-0.188E+00,-3.74E+00,-3.86E+00,+7.08E+00,-1.808E+00
2,03/2/2026,18:42:06.370,+0.000E+00,-0.047E+00,+0.000E+00,-0.188E+00,-3.83E+00,-3.77E+00,+7.08E+00,-1.862E+00
