EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,12/2/2026,10:41:05.375,-0.14E+00,-0.05E+00,+0.05E+00,-0.05E+00,+2.37E+00,+5.98E+00,-8.71E+00,+7.233E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.50E+00,+5.89E+00,-8.74E+00,+7.195E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.64E+00,+5.78E+00,-8.77E+00,+7.157E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.78E+00,+5.68E+00,-8.81E+00,+7.119E+00
2,12/2/2026,10:41:05.375,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+2.90E+00,+5.57E+00,-8.84E+00,+7.081E+00
2,12/2/2026,10:41:05.375,-0.14E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.04E+00,+5.46E+00,-8.85E+00,+7.035E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.16E+00,+5.36E+00,-8.87E+00,+6.989E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,+3.28E+00,+5.25E+00,-8.90E+00,+6.943E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.42E+00,+5.14E+00,-8.91E+00,+6.890E+00
2,12/2/2026,10:41:05.375,-0.14E+00,-0.05E+00,+0.05E+00,-0.05E+00,+3.54E+00,+5.02E+00,-8.93E+00,+6.837E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,+3.68E+00,+4.91E+00,-8.93E+00,+6.791E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.78E+00,+4.79E+00,-8.94E+00,+6.737E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+3.91E+00,+4.68E+00,-8.96E+00,+6.684E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.03E+00,+4.58E+00,-8.96E+00,+6.638E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,+4.15E+00,+4.47E+00,-8.97E+00,+6.585E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,+4.27E+00,+4.36E+00,-8.99E+00,+6.531E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.00E+00,-0.05E+00,+4.38E+00,+4.26E+00,-8.99E+00,+6.478E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,+4.50E+00,+4.14E+00,-9.00E+00,+6.425E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.62E+00,+4.03E+00,-9.00E+00,+6.379E+00
2,12/2/2026,10:41:05.375,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.73E+00,+3.91E+00,-9.02E+00,+6.318E+00
2,12/2/2026,10:41:05.376,-0.14E+00,-0.05E+00,+0.05E+00,-0.05E+00,+4.85E+00,+3.80E+00,-9.02E+00,+6.264E+00
2,12/2/2026,10:41:05.376,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,+4.97E+00,+3.69E+00,-9.02E+00,+6.211E+00
