EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.36E+00,+3.97E+00,+3.34E+00,+1.656E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.36E+00,+4.07E+00,+3.24E+00,+1.610E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.36E+00,+4.17E+00,+3.14E+00,+1.557E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-7.36E+00,+4.27E+00,+3.04E+00,+1.503E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-7.36E+00,+4.38E+00,+2.95E+00,+1.457E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,-7.36E+00,+4.47E+00,+2.85E+00,+1.404E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.36E+00,+4.56E+00,+2.75E+00,+1.351E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-7.34E+00,+4.67E+00,+2.64E+00,+1.297E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-7.34E+00,+4.76E+00,+2.53E+00,+1.251E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.34E+00,+4.87E+00,+2.43E+00,+1.198E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.32E+00,+4.97E+00,+2.32E+00,+1.137E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-7.32E+00,+5.07E+00,+2.21E+00,+1.083E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-7.31E+00,+5.16E+00,+2.11E+00,+1.030E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.29E+00,+5.25E+00,+2.00E+00,+0.977E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.28E+00,+5.36E+00,+1.89E+00,+0.923E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.26E+00,+5.45E+00,+1.79E+00,+0.870E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.23E+00,+5.52E+00,+1.68E+00,+0.816E+00
2,05/2/2026,11:04:16.363,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-7.20E+00,+5.60E+00,+1.57E+00,+0.755E+00
