EventNo,Date,Time,U1,U2,U3,U4,I1,I2,I3,I4
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-13.58E+00,-0.12E+00,+13.34E+00,+0.046E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-13.67E+00,+0.12E+00,+13.18E+00,+0.168E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.09E+00,+0.00E+00,+0.00E+00,-13.76E+00,+0.35E+00,+13.03E+00,+0.282E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-13.84E+00,+0.60E+00,+12.88E+00,+0.404E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,-13.90E+00,+0.84E+00,+12.71E+00,+0.526E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-13.98E+00,+1.08E+00,+12.54E+00,+0.649E+00
2,09/2/2026,19:05:30.974,-0.14E+00,-0.05E+00,+0.05E+00,-0.05E+00,-14.05E+00,+1.34E+00,+12.36E+00,+0.771E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.05E+00,-0.05E+00,-14.12E+00,+1.59E+00,+12.18E+00,+0.893E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,-14.19E+00,+1.83E+00,+11.99E+00,+1.015E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-14.25E+00,+2.09E+00,+11.81E+00,+1.145E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-14.33E+00,+2.33E+00,+11.64E+00,+1.267E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-14.41E+00,+2.58E+00,+11.46E+00,+1.389E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-14.47E+00,+2.82E+00,+11.29E+00,+1.503E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-14.53E+00,+3.05E+00,+11.11E+00,+1.618E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.05E+00,+0.00E+00,-14.60E+00,+3.30E+00,+10.96E+00,+1.740E+00
2,09/2/2026,19:05:30.974,-0.09E+00,-0.05E+00,+0.00E+00,+0.00E+00,-14.67E+00,+3.53E+00,+10.77E+00,+1.854E+00
